,date,year,region,type,avg_price,price_category,total_volume,small_av,large_av,xlarge_av,total_bags,small_bags,large_bags,xlarge_bags
0,2015-12-27,2015,Albany,conventional,1.33,Medium,64237,1037,54455,48,8697,8604,93,0
1,2015-12-20,2015,Albany,conventional,1.35,Medium,54877,674,44639,58,9506,9409,97,0
2,2015-12-13,2015,Albany,conventional,0.93,Low,118220,795,109150,130,8145,8042,103,0
3,2015-12-06,2015,Albany,conventional,1.08,Medium,78992,1132,71976,73,5811,5677,134,0
4,2015-11-29,2015,Albany,conventional,1.28,Medium,51040,942,43838,76,6184,5986,198,0
5,2015-11-22,2015,Albany,conventional,1.26,Medium,55980,1184,48068,44,6684,6557,127,0
6,2015-11-15,2015,Albany,conventional,0.99,Low,83454,1369,73673,93,8319,8197,122,0
7,2015-11-08,2015,Albany,conventional,0.98,Low,109428,704,101815,80,6829,6267,562,0
8,2015-11-01,2015,Albany,conventional,1.02,Medium,99811,1022,87316,85,11388,11104,284,0
9,2015-10-25,2015,Albany,conventional,1.07,Medium,74339,843,64757,113,8626,8062,564,0
10,2015-10-18,2015,Albany,conventional,1.12,Medium,84843,924,75596,117,8206,7878,328,0
11,2015-10-11,2015,Albany,conventional,1.28,Medium,64489,1582,52678,105,10124,9866,258,0
12,2015-10-04,2015,Albany,conventional,1.31,Medium,61007,2268,49881,101,8757,8380,377,0
13,2015-09-27,2015,Albany,conventional,0.99,Low,106803,1205,99409,155,6034,5888,146,0
14,2015-09-20,2015,Albany,conventional,1.33,Medium,69759,1029,59313,150,9267,8489,778,0
15,2015-09-13,2015,Albany,conventional,1.28,Medium,76111,985,65697,142,9287,8666,621,0
16,2015-09-06,2015,Albany,conventional,1.11,Medium,99173,879,90063,241,7990,7763,227,0
17,2015-08-30,2015,Albany,conventional,1.07,Medium,105694,689,94363,335,10307,10219,88,0
18,2015-08-23,2015,Albany,conventional,1.34,Medium,79992,733,67934,445,10880,10745,135,0
19,2015-08-16,2015,Albany,conventional,1.33,Medium,80044,540,68666,395,10443,10297,146,0
20,2015-08-09,2015,Albany,conventional,1.12,Medium,111141,585,100961,369,9226,9116,110,0
21,2015-08-02,2015,Albany,conventional,1.45,Medium,75133,510,62035,741,11847,11769,78,0
22,2015-07-26,2015,Albany,conventional,1.11,Medium,106757,648,91949,967,13193,13062,131,0
23,2015-07-19,2015,Albany,conventional,1.26,Medium,96617,1043,82049,2238,11287,11103,184,0
24,2015-07-12,2015,Albany,conventional,1.05,Medium,124055,671,94694,4258,24432,24291,108,33
25,2015-07-05,2015,Albany,conventional,1.35,Medium,109252,869,72601,5883,29899,29663,236,0
26,2015-06-28,2015,Albany,conventional,1.37,Medium,89535,664,57546,4663,26662,26312,350,0
27,2015-06-21,2015,Albany,conventional,1.27,Medium,104849,803,76689,5481,21876,21662,214,0
28,2015-06-14,2015,Albany,conventional,1.32,Medium,89631,850,55401,4377,29003,28344,659,0
29,2015-06-07,2015,Albany,conventional,1.07,Medium,122743,657,99221,90,22775,22315,460,0
30,2015-05-31,2015,Albany,conventional,1.23,Medium,95124,922,70470,51,23681,23222,459,0
31,2015-05-24,2015,Albany,conventional,1.19,Medium,101471,680,71377,59,29355,28762,593,0
32,2015-05-17,2015,Albany,conventional,1.43,Medium,109857,1151,81955,94,26657,26285,372,0
33,2015-05-10,2015,Albany,conventional,1.26,Medium,120428,1420,102001,186,16821,16535,286,0
34,2015-05-03,2015,Albany,conventional,1.2,Medium,59198,920,45490,217,12571,12202,369,0
35,2015-04-26,2015,Albany,conventional,1.22,Medium,49585,875,35842,90,12778,12076,702,0
36,2015-04-19,2015,Albany,conventional,1.19,Medium,49065,774,33942,47,14302,13603,699,0
37,2015-04-12,2015,Albany,conventional,1.13,Medium,48364,864,30374,22,17104,16438,666,0
38,2015-04-05,2015,Albany,conventional,1.16,Medium,47362,961,35578,94,10729,9869,756,104
39,2015-03-29,2015,Albany,conventional,1.02,Medium,67799,1402,58623,90,7684,7208,476,0
40,2015-03-22,2015,Albany,conventional,1.12,Medium,46347,2141,34314,142,9750,9253,497,0
41,2015-03-15,2015,Albany,conventional,1.11,Medium,43046,2128,30447,100,10371,9990,381,0
42,2015-03-08,2015,Albany,conventional,1.07,Medium,40507,795,30371,159,9182,8828,354,0
43,2015-03-01,2015,Albany,conventional,0.99,Low,55596,631,45633,181,9151,8986,165,0
44,2015-02-22,2015,Albany,conventional,1.07,Medium,45675,1088,35056,151,9380,9001,379,0
45,2015-02-15,2015,Albany,conventional,1.06,Medium,41568,987,30046,222,10313,9980,333,0
46,2015-02-08,2015,Albany,conventional,0.99,Low,51254,1357,39112,163,10622,10114,508,0
47,2015-02-01,2015,Albany,conventional,0.99,Low,70874,1355,60017,179,9323,9171,152,0
48,2015-01-25,2015,Albany,conventional,1.06,Medium,45148,942,33196,164,10846,10104,742,0
49,2015-01-18,2015,Albany,conventional,1.17,Medium,44511,914,31540,136,11921,11651,270,0
50,2015-01-11,2015,Albany,conventional,1.24,Medium,41195,1003,31640,127,8425,8036,389,0
51,2015-01-04,2015,Albany,conventional,1.22,Medium,40873,2820,28287,50,9716,9186,530,0
52,2015-12-27,2015,Atlanta,conventional,0.99,Low,386100,292097,27351,298,66354,48606,17748,0
53,2015-12-20,2015,Atlanta,conventional,1.08,Medium,331378,251775,20702,103,58798,46930,11868,0
54,2015-12-13,2015,Atlanta,conventional,0.96,Low,417772,324932,31019,276,61545,38903,22628,14
55,2015-12-06,2015,Atlanta,conventional,1.07,Medium,357637,283024,23741,182,50690,37032,13655,3
56,2015-11-29,2015,Atlanta,conventional,0.99,Low,333281,250288,28890,308,53795,33032,20739,24
57,2015-11-22,2015,Atlanta,conventional,1.0,Low,356415,269800,29732,501,56382,36992,19390,0
58,2015-11-15,2015,Atlanta,conventional,1.13,Medium,339861,263917,28442,456,47046,33656,13390,0
