date,year,month,region,type,avg_price,price_category,total_sold,small_av,large_av,xlarge_av,total_bags,small_bags,large_bags,xlarge_bags
2015-12-27,2015,December,Albany,conventional,1.33,Medium,64237,1037,54455,48,8697,8604,93,0
2015-12-20,2015,December,Albany,conventional,1.35,Medium,54877,674,44639,58,9506,9409,97,0
2015-12-13,2015,December,Albany,conventional,0.93,Low,118220,795,109150,130,8145,8042,103,0
2015-12-06,2015,December,Albany,conventional,1.08,Medium,78992,1132,71976,73,5811,5677,134,0
2015-11-29,2015,November,Albany,conventional,1.28,Medium,51040,942,43838,76,6184,5986,198,0
2015-11-22,2015,November,Albany,conventional,1.26,Medium,55980,1184,48068,44,6684,6557,127,0
2015-11-15,2015,November,Albany,conventional,0.99,Low,83454,1369,73673,93,8319,8197,122,0
2015-11-08,2015,November,Albany,conventional,0.98,Low,109428,704,101815,80,6829,6267,562,0
2015-11-01,2015,November,Albany,conventional,1.02,Medium,99811,1022,87316,85,11388,11104,284,0
2015-10-25,2015,October,Albany,conventional,1.07,Medium,74339,843,64757,113,8626,8062,564,0
2015-10-18,2015,October,Albany,conventional,1.12,Medium,84843,924,75596,117,8206,7878,328,0
2015-10-11,2015,October,Albany,conventional,1.28,Medium,64489,1582,52678,105,10124,9866,258,0
2015-10-04,2015,October,Albany,conventional,1.31,Medium,61007,2268,49881,101,8757,8380,377,0
2015-09-27,2015,September,Albany,conventional,0.99,Low,106803,1205,99409,155,6034,5888,146,0
2015-09-20,2015,September,Albany,conventional,1.33,Medium,69759,1029,59313,150,9267,8489,778,0
2015-09-13,2015,September,Albany,conventional,1.28,Medium,76111,985,65697,142,9287,8666,621,0
2015-09-06,2015,September,Albany,conventional,1.11,Medium,99173,879,90063,241,7990,7763,227,0
2015-08-30,2015,August,Albany,conventional,1.07,Medium,105694,689,94363,335,10307,10219,88,0
2015-08-23,2015,August,Albany,conventional,1.34,Medium,79992,733,67934,445,10880,10745,135,0
2015-08-16,2015,August,Albany,conventional,1.33,Medium,80044,540,68666,395,10443,10297,146,0
2015-08-09,2015,August,Albany,conventional,1.12,Medium,111141,585,100961,369,9226,9116,110,0
2015-08-02,2015,August,Albany,conventional,1.45,Medium,75133,510,62035,741,11847,11769,78,0
